年度,男,女,計,世帯数,出生,転入,その他,計,死亡,転出,その他,計,備考
昭和55年,1649,1724,3373,1003,28,111, ,139,31,39, ,170,-30
昭和56年,1588,1682,3270,981,17,111, ,128,30,199, ,229,-103
昭和57年,1551,1666,3217,976,19,130, ,149,33,171, ,204,-53
昭和58年,1524,1633,3157,970,18,117, ,135,26,169, ,195,-60
昭和59年,1474,1600,3074,963,24,112, ,136,32,187, ,219,-83
昭和60年,1422,1558,2980,942,22,99, ,121,39,176, ,215,-94
昭和61年,1379,1523,2902,926,22,89, ,111,37,152, ,189,-78
昭和62年,1352,1492,2844,922,18,95, ,113,22,149, ,171,-58
昭和63年,1326,1468,2794,915,16,106, ,122,23,149, ,172,-50
平成元年,1308,1444,2752,912,11,98, ,109,30,121, ,151,-42
平成 2年,1275,1424,2699,910,26,93, ,119,33,139, ,172,-53
平成 3年,1251,1397,2648,900,18,82, ,100,30,121, ,151,-51
平成 4年,1240,1383,2623,890,14,95, ,109,33,101, ,134,-25
平成 5年,1215,1360,2575,893,16,88, ,104,29,123, ,152,-48
平成 6年,1192,1347,2539,884,13,97, ,110,23,123, ,146,-36
平成 7年,1174,1312,2486,890,12,78, ,90,30,113, ,143,-53
平成 8年,1151,1285,2436,883,11,90, ,101,40,111, ,151,-50
平成 9年,1141,1272,2413,880,9,77, ,86,30,79, ,109,-23
平成10年,1129,1254,2383,869,11,71, ,82,38,74, ,112,-30
平成11年,1104,1230,2334,862,10,60, ,70,36,83, ,119,-49
平成12年,1084,1218,2302,873,9,67, ,76,28,80, ,108,-32
平成13年,1055,1183,2238,859,10,52, ,62,40,86, ,126,-64
平成14年,1049,1179,2228,857,10,81, ,91,42,59, ,101,-10
平成15年,1036,1162,2198,858,13,69, ,82,33,79, ,112,-30
平成16年,1027,1145,2172,859,6,64, ,70,32,64, ,96,-26
平成17年,984,1108,2092,859,6,44,3,53,42,91, ,133,-80
平成18年,959,1085,2044,841,8,45,0,53,45,56, ,101,-48
平成19年,941,1073,2014,838,7,46, ,53,34,51, ,85,-30
平成20年,944,1062,2006,852,9,59,1,69,35,42, ,77,-8
平成21年,930,1042,1972,852,8,51,1,60,47,47, ,94,-34
平成22年,912,999,1911,864,7,56,3,66,48,79, ,127,-61
平成23年,895,1001,1896,868,8,72,0,80,44,51, ,95,-15
平成24年,888,978,1866,853,6,50,11,67,44,53, ,97,-30
平成26年,869,954,1823,854,7,61,2,70,46,85,2,133, 
平成27年,827,916,1743,840,5,45,0,50,59,71,0,130, 
平成28年,815,884,1699,834,10,55,0,65,48,59,2,109, 
平成29年,781,835,1616,805,6,40,0,46,47,80,2,129, 
平成30年,761,821,1582,796,8,35,0,43,38,38,1,77, 
令和元年,738,809,1547,785,3,45,0,48,44,39,0,83, 
令和 2年,724,786,1510,765,6,48,0,54,33,58,0,91, 
令和 3年,724,787,1511,774,7,59,1,67,26,39,1,66, 
令和 4年,700,757,1457,757,5,32,1,38,42,50,0,92, 
